"Label","When","Config","Metric","Value"
"step168 часы: до","2026-09-11","fork=unknown cpu=qemu64,+nx accel=tcg disk=usb","census.wall_ms","16261"
"step168 часы: до","2026-09-11","fork=unknown cpu=qemu64,+nx accel=tcg disk=usb","run.Bench.wall_ms","574"
"step168 часы: до","2026-09-11","fork=unknown cpu=qemu64,+nx accel=tcg disk=usb","run.Bench.clock.avg_ns","9816"
"step168 часы: до","2026-09-11","fork=unknown cpu=qemu64,+nx accel=tcg disk=usb","bench.clock.utcnow.backsteps","1"
"step168 часы: до","2026-09-11","fork=unknown cpu=qemu64,+nx accel=tcg disk=usb","bench.clock.self_timed_ms","-442"
"step168 часы: HPET","2026-09-11","fork=unknown cpu=qemu64,+nx accel=tcg disk=usb","census.wall_ms","16536"
"step168 часы: HPET","2026-09-11","fork=unknown cpu=qemu64,+nx accel=tcg disk=usb","run.Bench.wall_ms","66"
"step168 часы: HPET","2026-09-11","fork=unknown cpu=qemu64,+nx accel=tcg disk=usb","run.Bench.clock.avg_ns","961"
"step168 часы: HPET","2026-09-11","fork=unknown cpu=qemu64,+nx accel=tcg disk=usb","bench.clock.utcnow.backsteps","0"
"step168 часы: HPET","2026-09-11","fork=unknown cpu=qemu64,+nx accel=tcg disk=usb","bench.clock.self_timed_ms","62"
"step169 все бенчи","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","census.wall_ms","16826"
"step169 все бенчи","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","run.Bench.wall_ms","852"
"step169 все бенчи","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","run.Bench.clock.avg_ns","880"
"step169 все бенчи","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","run.Bench.disklog.total_ms","26"
"step169 все бенчи","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.clock.utcnow.backsteps","0"
"step169 все бенчи","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.clock.self_timed_ms","56"
"step169 все бенчи","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.alloc.short.ns_per_op","417"
"step169 все бенчи","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.alloc.short.gc0","78"
"step169 все бенчи","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.alloc.retained.ns_per_op","468"
"step169 все бенчи","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.strings.ns_per_op","4146"
"step169 все бенчи","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.collections.ns_per_op","490"
"step169 все бенчи","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.exceptions.ns_per_op","113429"
"step169 все бенчи","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.jit.ns_per_op","579196"
"step169 все бенчи","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.tasks.ns_per_op","49496"
"step169 все бенчи","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.output.ns_per_op","1004290"
"step169 счётчики","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","census.wall_ms","16639"
"step169 счётчики","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","run.Bench.wall_ms","844"
"step169 счётчики","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","run.Bench.clock.avg_ns","968"
"step169 счётчики","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","run.Bench.disklog.total_ms","23"
"step169 счётчики","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","run.Bench.screen.total_ms","132"
"step169 счётчики","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.clock.utcnow.backsteps","0"
"step169 счётчики","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.clock.self_timed_ms","60"
"step169 счётчики","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.alloc.short.ns_per_op","395"
"step169 счётчики","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.alloc.short.gc0","80"
"step169 счётчики","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.alloc.retained.ns_per_op","424"
"step169 счётчики","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.strings.ns_per_op","3967"
"step169 счётчики","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.collections.ns_per_op","603"
"step169 счётчики","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.exceptions.ns_per_op","116210"
"step169 счётчики","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.jit.ns_per_op","610097"
"step169 счётчики","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.tasks.ns_per_op","20124"
"step169 счётчики","2026-09-11","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.output.ns_per_op","1005293"
"step169 перерисовки ≤60/с","2026-09-13","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","census.wall_ms","16587"
"step169 перерисовки ≤60/с","2026-09-13","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","run.Bench.wall_ms","738"
"step169 перерисовки ≤60/с","2026-09-13","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","run.Bench.clock.avg_ns","1017"
"step169 перерисовки ≤60/с","2026-09-13","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","run.Bench.disklog.total_ms","17"
"step169 перерисовки ≤60/с","2026-09-13","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","run.Bench.screen.total_ms","10"
"step169 перерисовки ≤60/с","2026-09-13","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.clock.utcnow.backsteps","0"
"step169 перерисовки ≤60/с","2026-09-13","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.clock.self_timed_ms","61"
"step169 перерисовки ≤60/с","2026-09-13","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.alloc.short.ns_per_op","690"
"step169 перерисовки ≤60/с","2026-09-13","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.alloc.short.gc0","87"
"step169 перерисовки ≤60/с","2026-09-13","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.alloc.retained.ns_per_op","495"
"step169 перерисовки ≤60/с","2026-09-13","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.strings.ns_per_op","3856"
"step169 перерисовки ≤60/с","2026-09-13","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.collections.ns_per_op","98"
"step169 перерисовки ≤60/с","2026-09-13","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.exceptions.ns_per_op","123963"
"step169 перерисовки ≤60/с","2026-09-13","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.jit.ns_per_op","626816"
"step169 перерисовки ≤60/с","2026-09-13","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.tasks.ns_per_op","23069"
"step169 перерисовки ≤60/с","2026-09-13","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","bench.output.ns_per_op","398323"
"опыт: -cpu max","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","census.wall_ms","16244"
"опыт: -cpu max","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","run.Bench.wall_ms","856"
"опыт: -cpu max","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","run.Bench.clock.avg_ns","940"
"опыт: -cpu max","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","run.Bench.disklog.total_ms","17"
"опыт: -cpu max","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","run.Bench.screen.total_ms","10"
"опыт: -cpu max","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","bench.clock.utcnow.backsteps","0"
"опыт: -cpu max","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","bench.clock.self_timed_ms","60"
"опыт: -cpu max","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","bench.alloc.short.ns_per_op","518"
"опыт: -cpu max","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","bench.alloc.short.gc0","36"
"опыт: -cpu max","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","bench.alloc.retained.ns_per_op","898"
"опыт: -cpu max","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","bench.strings.ns_per_op","4444"
"опыт: -cpu max","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","bench.collections.ns_per_op","525"
"опыт: -cpu max","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","bench.exceptions.ns_per_op","118366"
"опыт: -cpu max","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","bench.jit.ns_per_op","583010"
"опыт: -cpu max","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","bench.tasks.ns_per_op","121236"
"опыт: -cpu max","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","bench.output.ns_per_op","384072"
"step169 кеши+аллокаторы","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","census.wall_ms","16396"
"step169 кеши+аллокаторы","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","run.Bench.wall_ms","529"
"step169 кеши+аллокаторы","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","run.Bench.clock.avg_ns","1097"
"step169 кеши+аллокаторы","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","run.Bench.disklog.total_ms","16"
"step169 кеши+аллокаторы","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","run.Bench.screen.total_ms","12"
"step169 кеши+аллокаторы","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","bench.clock.utcnow.backsteps","0"
"step169 кеши+аллокаторы","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","bench.clock.self_timed_ms","70"
"step169 кеши+аллокаторы","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","bench.alloc.short.ns_per_op","162"
"step169 кеши+аллокаторы","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","bench.alloc.short.gc0","2"
"step169 кеши+аллокаторы","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","bench.alloc.retained.ns_per_op","494"
"step169 кеши+аллокаторы","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","bench.strings.ns_per_op","728"
"step169 кеши+аллокаторы","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","bench.collections.ns_per_op","526"
"step169 кеши+аллокаторы","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","bench.exceptions.ns_per_op","117343"
"step169 кеши+аллокаторы","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","bench.jit.ns_per_op","590370"
"step169 кеши+аллокаторы","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","bench.tasks.ns_per_op","95153"
"step169 кеши+аллокаторы","2026-09-13","fork=Release cpu=max accel=tcg disk=usb","bench.output.ns_per_op","413068"
"step169 BenchAot, EH-трасса выкл","2026-09-13","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","census.wall_ms","16403"
"step169 BenchAot, EH-трасса выкл","2026-09-13","fork=Release cpu=qemu64,+nx accel=tcg disk=usb","run.Bench.wall_ms","480"
